и,and
холод,cold
шептать/шепнуть,to whisper
эффект,effect
ай,"oh! (expressing fear, surprise)"
бельё,linen
берёза,birch
бородатый,bearded
ведущий,leading; (as noun) presenter (of programme)
визит,official visit
возмущение,indignation
возражать/возразить (против +g),to object (to)
восклицать/воскликнуть,to exclaim
выделяться/выделиться (из +g),to stand out (from)
выпадать/выпасть (из +g),to fall out (of)
где-нибудь,anywhere
горшок,pot
гроза,thunderstorm
грустный,sad
доноситься/донестись,to reach (sounds etc.)
единица,unit
жадный,greedy
забирать/забрать (+a),to take hold of; take away
задавать/задать (+a +d),"to set, assign (sth to s.o.)"
задерживаться/задержаться,to be delayed
закладывать/заложить (+a),"to put behind; lay down, found; (+inst) block (with); pawn, mortgage"
занавеска,curtain
запирать/запереть (+a),to lock
издавать/издать (+a),to publish; emit
испуганно,fearfully
каков,"what, what kind of"
любитель (m),amateur; lover (of sth)
мебель (f),furniture
медленный,slow
нарядный,well-dressed
неизбежный,inevitable
ненавидеть/воз- (+a),to hate
обсуждать/обсудить (+a),to discuss
опираться/опереться (на +a),to lean on
освещать/осветить (+a),to illuminate
отворачиваться/отвернуться (от +g),to turn away (from)
отрицать (i) (+a),to deny
перевод,translation; transfer
плата,payment
подвергаться/подвергнуться (+d),"to undergo, be subjected to"
подымать/поднять (+a),to raise (coll)
полно́ (+g),lots (of) (coll)
по́лно,that’s enough; full
положительный,positive
попадаться/попасться,to be caught; turn up
преследовать (i) (+a),to pursue; persecute
пресса,the press
прокурор,prosecutor
просторный,spacious
раздаваться/раздаться,to resound
разработка,"elaboration, working out; design; mining"
разумный,sensible
рамка,frame
расширение,expansion
сверкающий,sparkling
семнадцать,seventeen
словом,in short
складывать/сложить (+a),"to pile up, put together; fold up; add up; put down"
срывать/сорвать (+a с +g),to tear off; wreck
табак,tobacco
теперешний,present (adj) (coll)
уголок,"corner, nook"
учёт,calculation; stock-taking; registration
фон,background
фонд,fund; stock
фунт,pound (money or weight)
халат,"dressing-gown; overall, white coat"
четырнадцать,fourteen
электростанция,power station
африканский,African (adj)
барин,"landowner, barin; gentleman"
барышня,young lady
больший,bigger
вдвое,double
ветка,branch
владёлец,owner
волк,wolf
выдумывать/выдумать (+a),"to invent, fabricate, make up"
выигрывать/выиграть (+a),to win
выясняться/выясниться,to become clear
гнев,anger
давний,long-ago (adj)
денежный,"money (adj), monetary"
добывать/добыть (+a),"to get, obtain"
драка,"fight, brawl"
живот,"belly, stomach"
закономерность (f),"regularity, law"
заслуга,"service, merit, achievement"
издали,from a distance
иллюзия,illusion
качать/качнуть (+a or +inst),"to rock, shake, swing"
квадратный,square (adj)
красавица,beautiful woman
ласковый,"tender, affectionate"
минеральный,mineral (adj)
мягко,softly
недалеко,not far
облик,"look, appearance, image"
обломок,fragment
одеяло,blanket
опускаться/опуститься,"to lower os, sink"
осколок,splinter
осуществлять/осуществить (+a),"to carry out, accomplish, execute"
помирать/помереть,to die (coll)
поражение,defeat
праздничный,festive
предоставлять/предоставить (+a +d),"to give, grant (sth to s.o.)"
пропускать/пропустить (+a),"to let through; omit, miss"
разведка,intelligence service; reconnaissance
распространяться/распространиться,to spread
рубеж,boundary
сарай,shed
сиять (i),to shine
советовать/по- (+d),to advise (s.o.)
современник,contemporary
сок,juice
соображать/сообразить,"to realize, work out, think out, understand"
сопровождать (i) (+a),to accompany
сохраняться/сохраниться,to be preserved
структура,structure
ступень (f),"step, rung; stage, level, grade"
стыд,shame
тайный,secret (adj)
угнетённый,oppressed
уснуть (p),to fall asleep
утренний,morning (adj)
философ,philosopher
холодно,coldly; it’s cold
аудитория,auditorium
базар,"bazaar, market"
бронзовый,bronze (adj)
валяться/по-,to roll; lie about
верёвка,rope; string
взволнованный,"anxious, agitated"
временный,temporary
выбрасывать/выбросить (+a),to throw out
глупо,stupidly
долина,valley
дополнительный,additional
дуть/по-,to blow
жалкий,pitiful
зажигать/зажечь (+a),to set fire to
засыпать/заснуть,to fall asleep
заставать/застать (+a),to find (a person)
здороваться/по- (c +inst),to greet
известие,piece of news
искренний,sincere
килограмм,kilogram
крыса,rat
мелочь (f),"trifle, minor matter; small change (coins)"
молодёжный,youth (adj)
мыть/по- (+a),to wash
недостаточно,insufficient(ly); (+g) not enough
немногие (pl),few (people)
неприятный,unpleasant
огород,kitchen-garden (for vegetables)
описывать/описать (+a),to describe
отреза́ть (i) (+a),to cut off
охватывать/охватить (+a),"to seize, envelop"
плёнка,"film, (recording) tape"
подземный,underground (adj)
показываться/показаться,"to show os, be shown"
порой,"at times, occasionally"
порядочный,"decent, respectable"
прикрывать/прикрыть (+a +inst),"to screen, shelter (sth with sth)"
прилагать/приложить (к +d),"to place in contact with; apply; add, attach (to)"
разводить/развести (+a),to separate; dissolve
разглядывать (i) (+a),to examine closely
роща,"small wood, copse"
случайный,"chance (adj), fortuitous"
смело,boldly
смущённо,with embarrassment
создаваться/создаться,to be created; arise
сохранять/сохранить (+a),"to keep, preserve"
спускаться/спуститься,"to go down, descend"
сумерки (pl),"twilight, dusk"
тяжесть (f),"weight, burden"
увеличиваться/увеличиться,to increase
фашизм,Fascism
автомашина,"car, vehicle"
беспощадный,merciless
брак,"marriage; (no pl) defective product(s), reject(s)"
брошюра,brochure
бугор,mound
вечно,"eternally, always"
возить/по- (+a),to transport (around/there and back)
вплоть (до +g),right up to
выделять/выделить (+a),"to pick out; allot, assign"
выезжать/выехать (из +g),to leave (by transport)
вытирать/вытереть (+a),"to wipe, wipe dry"
газетный,newspaper (adj)
голосовать/про- (за +a/против +g),to vote (for/against)
дуб,oak
жалоба (на +a),complaint (about)
заболевать/заболеть,to fall ill
заводить/завести (+a),"to take somewhere; start, start up; wind up"
закрытый,closed
катиться/по-,to roll
книжный,book (adj); bookish
крутить/за- (+a),to twist
ловко,"skilfully, deftly"
лопата,spade
магнитофон,tape-recorder
мастерство,"skill, craftsmanship"
мужество,courage
наверху,above; upstairs
награда,reward
наряду (с +inst),"equally, alongside"
необыкновенный,unusual
овца,sheep
относить/отнести (+a),to take (somewhere)
падение,fall
подводить/подвести (+a),to lead up; (coll) let (s.o.) down
подозревать (i) (+a),to suspect
поистине,indeed
покойный,"calm; late, deceased"
посещать/посетить (+a),to visit (a place)
постановление,"resolution, decree"
пот,sweat
пребывание,stay
предварительный,preliminary; prior
приготавливать/приготовить (+a),to prepare
пристально,fixedly
протяжение,extent; expanse
разнообразие,variety
рассматривать/рассмотреть (+a),to examine; make out
рвать/по- (+a),to tear
религия,religion
родственник,relative
сбивать/сбить (+a),"to knock down; confuse; whip, whisk; distract, beat"
сворачивать/свернуть (+a),to roll (up); turn
сводить/свести (+a),"to take (s.o. somewhere); bring together; (c +g) take down, away"
скамейка,bench
совершенствование,improvement
сокровище,treasure
сплошь,completely
судья (m/f),judge; referee
существующий,existing
толщина,thickness
видать/у- (+a),to see (coll)
ужин,supper
усадьба,country estate
хранить (i) (+a),"to keep, store"
чашка,cup
чепуха,nonsense
явный,"obvious, overt"
бревно,"log, beam"
виднеться (i),to be visible
вклад,contribution
восстанавливать/восстановить (+a),"to restore, reconstruct; (+a против +g) set s.o. against s.o."
временно,temporarily
вызов,summons; challenge
вылезать/вылезти (из +g),to climb out (of)
годовой,yearly
готовность (f),readiness
доступный,accessible
жарко,hotly; it’s hot
задумывать/задумать (+a),to think up; plan
запрос,official request
издалека,from a distance
интересоваться/за- (+inst),to be interested in
кадр,frame; cadre
кадры,"staff, personnel"
каковой,which (official style)
кивать/кивнуть (+inst),to nod
китайский,Chinese
корм,fodder
красиво,"beautifully, attractively"
кровавый,bloody
крышка,lid
кушать/с- (+a),to eat
напиваться/напиться (+g),to drink one’s fill; get drunk
нарушение,"violation, offence"
нелегко,(it’s) not easy
нестись/по-,to rush
нить (f),thread
ночевать/пере-,to spend the night
нравственный,moral
объединённый,united
окраина,outskirts
описание,description
остановка,stop
очевидный,obvious
очерк,"essay, study"
патрон,cartridge
пенсия,pension
плен,captivity
плоский,flat
плотно,tightly
подвал,"cellar, basement"
подчёркивать/подчеркнуть (+a),to underline; emphasize
подыматься/подняться,to rise; climb (coll)
есть/по-,to eat a little
полгода,half a year
нести/по- (+a),to carry
приниматься/приняться (за +a),"to get down, start work on"
присущий (+d),inherent (in)
притом,"besides, in addition"
проигрывать/проиграть (+a),to lose (game etc)
профессиональный,professional (adj)
растерянно,in bewilderment
реклама,advertisement
руководящий,"leading, guiding"
сжигать/сжечь (+a),to burn
скамья,bench
скучный,boring
снизу,from below
собеседник,"interlocutor, the person one is talking to"
собор,cathedral
спинка,back (of chair etc.)
прятаться/с-,to hide
стукать/стукнуть (+a),"to knock, bang"
торопливо,hastily
тревожить/вс- (+a),to alarm; disturb
убитый,killed
худой,thin; bad
чрезвычайный,extreme; exceptional
шагать/шагнуть,"to step, stride; to take a step"
эффективность,effectiveness; efficiency
якобы,allegedly
ярость (f),rage
аллея,avenue
баня,bath-house
беспокойство,"agitation, anxiety"
беспорядок,"disorder, mess"
близ (+g),near
бурый,greyish-brown
валить/с- (+a),to topple; heap up
веде́ние,"conducting, conduct"
ве́дение,"authority, control"
величественный,majestic
вздумать (р) (+inf),to decide suddenly (coll)
вмешательство (в +a),interference (in)
водный,water (adj)
возвращение,return
гриб,mushroom
гусь (m),goose
девятый,ninth
еда,food
жестоко,cruelly
животный,animal (adj)
забастовка,strike (by workers)
за́мок,castle
замо́к,lock
затылок,back of the head
идеал,ideal
ковёр,carpet
колоссальный,colossal
куда-то,somewhere
мощь (f),"power, might"
наивный,naive
налево,to the left
неведомый,unknown
неудобно,"uncomfortably, awkwardly; it’s awkward"
обман,"deceit, deception"
обходиться/обойтись,to manage; treat; turn out
обязывать/обязать (+a +inf),to oblige s.o. to do sth
одерживать/одержать (+a),"to obtain, gain"
освоение,"assimilation, mastery"
пение,singing
переживать/пережить (+a),to live through; experience; outlive; suffer
печатать/на- (+a),to print
пешком,on foot
планирование,planning
повар,cook
поделать (р),to do (coll)
познание,"knowledge, cognition"
полёт,flight
последствие,consequence
приблизительно,approximately
пригодиться (р),to come in useful
прогонять/прогнать (+a),"to drive away; banish, throw out"
просвещение,education; enlightenment
прочность (f),"stability, solidity, durability"
проявляться/проявиться,"to show itself, be revealed"
пустынный,"desert (adj), deserted"
рана,wound
расспрашивать/расспросить (+a),to question
рядовой (m) (adj),"ordinary, rank and file; (as noun) private soldier"
свидетельствовать (i) (о +pr),"to show, be evidence (of)"
слепой,blind
трактор,tractor
штаб,staff (mil); HQ
борт,side (of a ship)
цех,"section of factory, shop"
порода,"kind, type, breed; rock (geological)"
германский,Germanic
о́рган,"organ (biol, political)"
орга́н,organ (musical instrument)
лаборатория,laboratory
казак,Cossack
металл,metal
прибор,"piece of apparatus, gadget, instrument"
обработка,"treatment, processing"
видимый,"visible, evident"
эксплуатация,exploitation
колонна,column
рыбак,fisherman
производственный,production (adj)
полицейский,police (adj); (adj used as noun) policeman
завоевание,conquest
бригадир,brigade leader; foreman
показатель (m),"index, indicator"
часовой,"hour (adj); watch, clock (adj); (as noun) sentry"
слушатель (m),listener
слышный,audible
срочно,urgently
ссора,quarrel
стадия,stage (of development)
столкновение,"collision, clash"
ступенька,step
судно,"vessel, craft"
теряться/по-/рас-,to get lost; lose one’s head
увлечение,enthusiasm; hobby
удивлённо,with surprise
умственный,"mental, intellectual"
учитывать/учесть (+a),"to take into account; to take into consideration, bear in mind"
чей-то,someone’s
яма,"pit, hole"
бег,running; race
беспокоить/о-/по- (+a),to worry (s.o.)
бессмертный,immortal
веселье,merriment
взрывать/взорвать (+a),to blow up
витрина,shop-window; showcase
внучка,granddaughter
внушать/внушить (+a +d),"to instil, inspire (sth in s.o.), put sth in s.o.’s head"
возбуждать/возбудить (+a),to arouse
воин,warrior
гордиться (i) (+inst),to be proud of
горько,bitter(ly)
грустно,sad(ly)
густо,thickly; densely
доставаться/достаться (+d),to fall to s.o.’s lot; (coll) catch it (be punished)
дура,"idiot, stupid woman"
ежедневно,every day
заканчиваться/закончиться,to end; finish
изобретение,invention
катастрофа,disaster
колебаться/по-,to sway; hesitate
лампочка,(light) bulb
легенда,legend
летучий,flying
мгла,"haze, gloom"
младший,younger; junior
мыслить (i),to think
накрывать/накрыть (+a),to cover; lay
неплохо,not bad(ly)
ноль (m),zero
нота,"note (music, diplomatic)"
ноты,sheet music
обильный,abundant
оборачиваться/обернуться,to turn round; turn out
отечественный,of the fatherland; Russian
отечество,fatherland
отставать/отстать (от +g),to lag behind
ощущение,"sensation, feeling"
памятный,memorable
папаша (m),dad
патриотический,patriotic
передний,front (adj)
перерыв,"break, interval"
повторяться/повториться,to be repeated
поди,probably (coll)
подлец,scoundrel
подхватывать/подхватить (+a),"to pick up, take up"
краснеть/по-,"to become red; blush, turn red"
поражать/поразить (+a),to strike; astonish; rout
предполагать/предположить,to suppose
придавать/придать (+a +d),"to impart, give (sth to sth)"
приезд,arrival
пробираться/пробраться,"to make one’s way through, force one’s way"
протест,protest
радоваться/об- (+d),"to be glad (at), be pleased (about)"
радостный,"glad, joyful"
разноцветный,many-coloured
расстреливать/расстрелять (+a),to execute (by shooting)
редактор,editor
рубить (i) (+a),to chop
сдавать/сдать (+a),"to hand in, hand over; rent, let; surrender, give up; i: take (exam); p: to pass (exam)"
следствие,consequence; investigation
смущаться/смутиться,to be embarrassed
спускать/спустить (+a),to lower; release
сухо,drily
телевидение,television (medium)
телевизионный,television (adj)
тревожно,anxiously
тяжкий,"heavy, serious"
увлекать/увлечь (+a),"to carry away; fascinate, distract"
удобно,comfortably; conveniently; it’s convenient
уход,"departure; (за +inst) caring (for), maintenance (of)"
церковный,church (adj)
чудак,"eccentric person, crank"
экземпляр,copy (of book etc.)
юный,young
беспокойный,"anxious, agitated"
бинокль (m),binoculars
верхушка,top; (coll) the bosses
взаимоотношение,interrelation
восемьдесят,eighty
вреза́ться (i) (в +a),to cut into
выгода,advantage
вырабатывать/выработать (+a),to produce; work out
гладить/по- (+a),to stroke; iron
городок,small town
гудок,"hooter, car horn; hooting"
договариваться/договориться (с +inst),to reach agreement (with)
досада,annoyance
дьявол,devil
жаркий,hot
забытый,forgotten
загадка,mystery; riddle
загрязнение,pollution
искра,spark
искренне,sincerely
исполнение,fulfilment; performance
кидать/кинуть (+a),to throw
коллега (m/f),colleague
куда-нибудь,anywhere
мириться/по-/при- (с +inst),to be reconciled with
молитва,prayer
молчаливый,taciturn
монах,monk
наблюдаться (i),to be observed
наверх,upwards
наклоняться/наклониться,"to bend down, stoop, bend over"
намечать/наметить (+a),to plan
настаивать/настоять (на +pr),"to insist, get one’s own way"
наставать/настать,to come (of seasons etc.)
обслуживание,service
объединять/объединить (+a),"to unite, combine"
одинаково,identically
одиннадцать,eleven
опасаться (i) (+g),to be afraid of
организатор,organizer
поглядывать (i) (на +a),to cast looks at
полотенце,towel
работать/по-,"to work, work for a while"
поразительный,astonishing
постройка,building
преступник,criminal
привет,greeting
присутствовать (i),to be present
продажа,sale
равнодушный (к +d),indifferent (to)
расставаться/расстаться (с +inst),to part (with/from)
растущий,growing
рваться/по-/разорваться,"to tear, burst; want strongly (to do sth)"
сеять/по- (+a),to sow
слабость (f),weakness
соединяться/соединиться,to unite
тогдашний,then (adj)
уборка,tidying up; harvest
уверять/уверить (+a),to assure
угадывать/угадать (+a),to guess
удачный,successful
улучшать/улучшить (+a),to improve
утверждать/утвердить (+a),to confirm
учёба,"study, studying"
характеризовать (i/p) (+a),to characterize
хозяйский,owner’s; boss’s
шкура,"skin, hide"
шуба,fur coat
автомобильный,car (adj)
башня,tower
беглый,"quick, fleeting"
безработица,unemployment
близость (f),closeness
вдвоём,together (as a twosome)
взамен (+g),"in exchange (for), instead (of)"
врываться/ворваться (в +a),to burst in
выбираться/выбраться (из +g),to get out
выдвигать/выдвинуть (+a),to move out; put forward
вылетать/вылететь,"to fly out, take off"
вырывать/вырвать (+a),to pull out
гвоздь (m),nail
гласность (f),openness
гнездо,nest
грузовик,"lorry, truck"
дежурный,duty (adj); (as noun) person on duty
дорого,dearly
дружно,"in harmony, simultaneously"
жара,"heat, hot weather"
здешний,"local, from here"
изображать/изобразить (+a),to depict
испуганный,frightened
казённый,belonging to the State
как-нибудь,somehow; anyhow; sometime (in the future)
картошка,potatoes (coll)
кривой,squint
куртка,(short) jacket
лгать/со-,"to lie, tell lies, tell a lie"
марка,"postage stamp; brand, trade mark"
махать/по-/махнуть (+inst),to wave
митинг,political meeting
налёт,raid; thin coating
наличие,presence
некий,a certain
неподалёку,not far away
неприятность (f),unpleasantness
обвинение,accusation
обвинять/обвинить (+a в +pr),to accuse (s.o. of sth)
оборот,"turn, revolution; turnover; reverse (of page etc.); turn of phrase"
обслуживать/обслужить (+a),to serve (s.o.)
обычай,custom
обязательный,compulsory
ого,oho!
отражение,reflection
подпись (f),signature
подсчитывать/подсчитать (+a),"to count up, calculate"
подчинять/подчинить (+a +d),"to subordinate, subject (s.o. to s.o. or sth)"
покидать/покинуть (+a),to abandon
полчаса,half an hour
поправлять/поправить (+a),"to correct, put right"
посетитель (m),visitor
предпринимать/предпринять (+a),to undertake
прибавлять/прибавить (+a),to add
приговор,"verdict, sentence"
разделять/разделить (+a),to divide; separate; share
смеяться/рас-,to burst out laughing
рассуждение,"reasoning, argument"
ресторан,restaurant
сбрасывать/сбросить (+a),to drop; throw off
сволочь (f),"swine, bastard (coll)"
слышно,"audible, audibly"
совместный,"joint, combined"
соединять/соединить (+a),"to unite, join"
соответствие,accordance
специальность (f),speciality; profession
срочный,urgent
старость (f),old age
стремительно,swiftly; impetuously
стройный,harmonious; well-proportioned
схема,diagram
счастливо,happily
традиционный,traditional
тысячелетие,millennium
уважаемый,respected
уголовный,criminal (adj)
удовлетворять/удовлетворить (+a),to satisfy; (+d) be in accordance with
уступать/уступить (+a +d),"to yield, give up, cede (sth to s.o.)"
характеристика,description; reference (for job etc.)
широта,width
безобразие,ugliness; scandal
беспорядочный,disorderly
благополучие,well-being
британский,British (adj)
бумажный,paper (adj)
важность (f),importance
вблизи,close by
вглядываться/вглядеться (в +a),"to gaze at, study, look closely at, peer at"
вековой,centuries-old
видеться/у- (c +inst),"to see one another, see each other"
восстановление,restoration
вручать/вручить (+a),"to hand, hand over"
всесторонний,all-round; thorough
гром,thunder
дружеский,friendly
дума,thought; duma (Russian parliament)
жажда,thirst
забираться/забраться (в/на +a),"to get, climb (into/onto)"
заведение,institution
задерживать/задержать (+a),to delay; arrest
законный,legal
затрата,expense
избегать/избежать (+g or inf),to avoid
извиняться/извиниться (перед +inst),to apologize (to)
качаться/качнуться,"to rock, swing"
кипеть/вс-,"to boil, be boiling"
клевета,slander
коробка,box
лекарство,medicine
миг,moment
миновать (i/p),"to pass, pass by"
морда,"snout, muzzle; (coll) face"
мутный,"turbid, clouded"
нарушать/нарушить (+a),"to disturb, violate, break, infringe"
небывалый,unprecedented; (coll) inexperienced
некуда,there is nowhere
немалый,considerable
неправильно,incorrectly
неправильный,incorrect
нищета,poverty
обстоять (i),to be
общежитие,hostel
определение,definition
оратор,"orator, speaker"
осторожный,"careful, cautious"
отражаться/отразиться,to be reflected
охранять/охранить (+a),to guard
очаг,hearth
переносить/перенести (+a),"to transfer, carry over; postpone"
повсюду,everywhere
подпольный,underground (adj)
полдень (m),midday
порывать/порвать (+a),to tear; break off
поручение,"commission, errand"
посреди (+g),in the middle (of)
требоваться/по-,"to be necessary, be needed"
предстоящий,"forthcoming, imminent"
привлекать/привлечь (+a),to attract
проваливаться/провалиться,to fall through; (coll) fail (exam); (coll) vanish
происшествие,"incident, occurrence"
пусто,(it’s) empty; emptily
пустота,emptiness
решимость (f),"determination, resoluteness"
рождать/родить (+a),to give birth
свободно,freely
священный,"holy, sacred"
смелость (f),"bravery, courage"
текст,text
товарный,goods (adj)
турист,tourist; hiker
убийство,murder
убыток,loss
укладывать/уложить (+a),"to lay (down); pack, stack"
упражнение,exercise
цивилизация,civilization
чин,rank
шевелиться/по-,to stir
автобус,bus
бесспорно,indisputably
бесстрашный,fearless
благодарность (f),gratitude
брюки (pl),trousers
вождь (m),leader
вспышка,flash
вытекать/вытечь,to flow out
гладкий,smooth
грубо,coarsely
давить (i) (на +a),"to press, put pressure on"
двадцатый,twentieth
делиться/раз- (на +a),to be divided (into)
дескать,"(indicating reported speech) ‘he said’, ‘they said’ etc. (coll)"
дрянь (f),rubbish (coll)
завтрак,breakfast
замечание,remark
зелень (f),greenery
наглядный,"clear, graphic"
нагрузка,load; workload
надобность (f),"necessity, need"
недолго,not (for) long
недоступный,inaccessible
независимо,independently
неясный,unclear
нуль (m),zero
ограниченный,limited
осматривать/осмотреть (+a),"to examine; look round (sth), inspect"
отвергать/отвергнуть (+a),to reject
пиво,beer
побережье,coast
подальше,a little further (coll)
ползти/по-,to crawl
прибегать/прибегнуть (к +d),to run to; resort to
противный,disgusting
пушистый,"fluffy, downy"
пышный,luxuriant
разбитый,broken
сбоку,from the side
валиться/с-,to fall down
симпатия (к +d),liking (for s.o.)
сказочный,fairy-tale (adj)
слабо,weakly
сладко,sweetly
справедливо,"justly, fairly; correctly"
сталкиваться/столкнуться (с +inst),to collide with
сторонник,supporter
типичный,typical
тонуть/по-/у-,to sink; drown
трамвай,"tram, streetcar"
тротуар,"pavement, sidewalk"
увлекаться/увлечься (+inst),to be keen on
уводить/увести (+a от +g),to lead away
хор,chorus; choir
четверо,"four, foursome"
чистота,cleanliness; purity
босой,barefoot
вертеть/по-,to twirl
всходить/взойти (на +a),to ascend
вмешиваться/вмешаться (в +a),to interfere (in)
вольный,free
воротник,collar
выдумка,"invention; fabrication, lie"
выслушивать/выслушать (+a),to hear (s.o.) out
выставлять/выставить (+a),"to display, put forward"
грусть (f),sadness
даваться/даться (+d),"to be given; come easily (to s.o.), be learnt easily"
дата,date
дипломат,diplomat; attaché-case
единственно,only
жать/с- (+a),to squeeze; to harvest
жулик,petty thief; cheat
завтрашний,tomorrow’s
звенеть/за-,to ring; (+inst) jingle
игрушка,toy
излагать/изложить (+a),"to set out, expound, put in words"
исправлять/исправить (+a),to correct
кафе (n) (indecl),café
каша,"kasha (porridge made of buckwheat, semolina or oatmeal)"
коллективный,collective
контора,office
маршрут,route
могущество,"power, might"
наделать (р) (+g),to make; (coll) to do
наружу,outside
невиданный,unprecedented
невысокий,"low, short"
недостаточный,insufficient
незначительный,insignificant
необычный,unusual
неподвижно,"motionlessly, still"
нервный,nervous
ничуть,not in the least (coll)
ножка,"leg; stem (of wineglass, mushroom)"
облегчать/облегчить (+a),to lighten; simplify; make easier
обрывать/оборвать (+a),to tear off; interrupt
обрабатывать/обработать (+a),"to process, work on"
обувь (f),footwear
ожидание,waiting; expectation
опора,support
отдельно,separately
отбирать/отобрать (+a),to take away; select
отрываться/оторваться (от +g),"to be torn off, break away"
отрицательный,negative
отчаянный,desperate
очутиться (р),to find oneself
песенка,song
побольше,a bit more
быть/по-,to stay for a while
подсказывать/подсказать (+a),"to prompt, suggest"
советоваться/по- (с +inst),to consult (s.o.)
претензия,claim
проезжать/проехать,to drive through or past
развивать/развить (+a),to develop
разрушать/разрушить (+a),"to destroy, ruin"
рассмотрение,"examination, scrutiny"
реветь/за-,"to roar, howl"
рекомендовать (i/p) (+a),to recommend
риск,risk
рукопись (f),manuscript
ручной,hand (adj); tame
рама,frame
сдаваться/сдаться,"to surrender, give up"
скрытый,hidden
согласие,agreement
сходиться/сойтись,to meet; form a liaison with; agree
солнышко,sun (dim)
страдание,suffering
сходство,similarity
сытый,"replete, full"
убедительно,"convincingly, earnestly"
убийца (m/f),murderer
удерживаться/удержаться,to stand firm; restrain os
укреплять/укрепить (+a),to strengthen
уносить/унести (+a),to carry away
упрямо,stubbornly
услуга,"service, favour"
храм,"temple, church"
частый,frequent
яйцо,egg
блюдо,"dish, course (of meal)"
вероятность (f),probability
ветерок,breeze
трудящийся,labouring  (participle)
мелодия,melody
посадка,boarding (of plane etc.); landing; planting
сало,"fat, lard"
устраиваться/устроиться,to make arrangements; settle down; get a job; work out well
химия,chemistry
выть/за-,to howl
самостоятельность (f),independence
старичок,(little) old man
тенденция,tendency
застой,stagnation
юбилей,"jubilee, anniversary"
административный,administrative
перчатка,glove (with fingers)
раздумье,"meditation, thought"
большевик,Bolshevik
хозяйственный,economic
химический,chemical
таблица,table (of figures)
фашист,Fascist
лесной,forest (adj); forestry (adj)
металлический,metallic
резерв,reserve
винтовка,rifle
атом,atom
конструкция,construction
совхоз,"state farm, sovkhoz"
органический,organic
материя,matter
фундамент,foundation
частица,small part; particle
чертёж,technical drawing
строение,construction
сырьё,raw material(s)
гвардия,Guards
пакет,packet; bag (paper or plastic)
пистолет,pistol
социалистический,socialist
отряд,detachment (organized group of soldiers or workers)
палуба,deck (of a ship)
артиллерия,artillery
объединение,"union, association"
ядерный,nuclear
буржуазный,bourgeois
партизан,partisan
технологический,technological
физика,physics
научно-исследовательский,scientific-research (adj)
геолог,geologist
дрова (n) (pl),firewood
итальянский,Italian (adj)
диктатура,dictatorship
машинный,machine (adj)
разведчик,"secret agent; scout, prospector"
академический,academic
отказывать/отказать (+d в +pr),to refuse (s.o. sth)
сетка,net; string-bag
сменяться/смениться,to be replaced
совестно (+d),ashamed
солома,straw
соперник,rival
таковой,such
телеграф,telegraph
формирование,formation
юридический,"legal, law (adj)"
банка,"jar, can"
авиация,aviation
актуальный,topical
аристократия,aristocracy
баржа,barge
батальон,battalion
башка (very coll),head
богатырь (m),"bogatyr, hero"
ботинок,(low) boot
вагончик,"small wagon, coach"
промежуток,"interval; space, gap"
бетон,concrete
горящий,burning (adj)
диплом,"diploma, degree"
конституция,constitution
листва,foliage
медь (f),copper (noun)
нету (+g),there isn’t/aren’t (= нет) (coll)
обыкновенно,usually
проволока,wire
путешественник,traveller
функция,function
агентство,agency
бульвар,avenue
газовый,gas (adj)
издатель (m),publisher
кабы,if (coll)
кнопка,"button, knob; drawing-pin"
курица,hen
веточка,"twig, sprig"
взаимодействие,interaction
взволнованно,anxiously
вздох,sigh
влажный,damp
возиться (i) (с +inst),to fiddle (with)
отводить/отвести (+a),to take aside
вплотную (к),close up (to)
всматриваться/всмотреться (в +a),to look closely at
всячески,in every way possible
глазок,small eye; peephole
головка,small head
грамм,gram(me)
грань (f),"border, verge; facet, edge"
дар,gift
дипломатический,diplomatic
дистанция,distance
доверять/доверить (+d),to trust (s.o.); (+a +d) entrust (sth to s.o.)
донской,(of the river) Don
драма,drama
жених,fiancé
жилой,"dwelling (adj), residential"
заворачивать/завернуть (+а),to wrap; (за +а) turn (a corner)
заключённый,"(as noun) prisoner, convict"
заслуживать/заслужить,"to merit, achieve by merit, deserve"
затягивать/затянуть,to tighten
звёздочка,small star; asterisk
идеологический,ideological
индустрия,industry
инструкция,instructions
карьера,career
князь (m),prince
ковш,"scoop, ladle"
командирский,commander’s
конкурс,competition
кот,tomcat
ликвидировать (i/p),to liquidate
метро (indecl),"metro, underground"
мрамор,marble
мужественный,"manly, courageous"
наверняка,"for sure; safely, without taking risks"
надолго,for a long time
насмешливо,"mockingly, sarcastically"
насыпь (f),embankment
начальный,"initial, primary"
недра (pl),"depths, bowels (of the earth)"
неприятно,(it’s) unpleasant; unpleasantly
няня,nurse
обучение (+d),teaching (of sth); training (in sth)
обходить/обойти (+a),to go round; avoid
опаздывать/опоздать (на +a),to be late (for)
оросительный,irrigation (adj)
отличать/отличить (+a),to distinguish
паспорт,passport
пачка,"packet, pack"
пашня,ploughed field
пёс,dog (coll)
плановый,"planned, planning"
плоскость (f),flatness; plane (surface)
по-вашему,in your opinion; as you want
подбородок,chin
подвода,cart
кланяться/поклониться,to bow
поперечный,transverse
популярный,popular
последовательно,consistently
посмеиваться (i),to chuckle
предусматривать/предусмотреть,"to envisage, stipulate, foresee"
преобразование,transformation; reform
протестовать/за- (против +g),to protest (against)
